;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
8505;femenino;servicio;recreativo educativo;aranjuez;2;4.0;7300000;microempresarial;2017-09-12
8506;femenino;industria;fabrica de;castilla;3;5.0;6890000;microempresarial;2016-09-30
8507;femenino;comercio;variedades;buenos aires;3;9.0;6890000;microempresarial;2016-03-29
8508;femenino;comercio;variedades;castilla;3;5.0;2000000;microempresarial;2017-08-11
8509;femenino;servicio;venta de lacteos;buenos aires;1;9.0;7000000;microempresarial;2017-10-27
8510;femenino;comercio;almacen de ropa en;granizal;2;1.0;8200000;microempresarial;2019-03-28
8512;masculino;servicio;mantenimiento en;santa cruz;2;2.0;7800000;microempresarial;2018-07-16
8513;femenino;comercio;bares;castilla;3;5.0;7800000;microempresarial;2018-07-27
8514;masculino;comercio;legumbreria;moravia;2;4.0;6890000;microempresarial;2016-08-03
8515;femenino;industria;fabrica de;belencito;2;13.0;3000000;microempresarial;2017-12-12
8516;femenino;industria;fabrica de;santo domingo savio ;2;1.0;800000;microempresarial;2018-07-03
8518;femenino;comercio;panaderia;granizal;2;1.0;4000000;microempresarial;2018-05-30
8519;femenino;industria;fabrica de;buenos aires;2;9.0;4000000;microempresarial;2017-09-22
8520;masculino;comercio;restaurante;barrio caicedo;2;9.0;7800000;microempresarial;2018-02-26
8521;masculino;comercio;variedades;lopez de mesa;3;7.0;7300000;microempresarial;2017-03-16
8522;femenino;servicio;comidas rapidas;cabecera san cristobal;2;60.0;6000000;microempresarial;2016-09-28
8523;masculino;comercio;reciclaje;san jose de la cima no. ;2;3.0;1500000;microempresarial;2018-05-22
8524;masculino;comercio;granero;santo domingo savio ;3;1.0;7800000;microempresarial;2018-11-20
8525;masculino;comercio;variedades;barrio caicedo;1;9.0;4000000;microempresarial;2018-05-17
8526;femenino;industria;fabrica de;robledo;3;7.0;7300000;microempresarial;2017-10-17
8527;femenino;comercio;almacen de ropa en;castilla;3;5.0;6890000;microempresarial;2016-12-02
8528;masculino;industria;fabrica de productos;el salvador;2;9.0;7000000;microempresarial;2018-01-16
8529;femenino;industria;carpinteria;cabecera san antonio ;3;80.0;7000000;microempresarial;2017-07-19
8530;femenino;comercio;bares;manrique central no. 1;3;4.0;7800000;microempresarial;2018-08-13
8531;femenino;comercio;comidas rapidas;belencito;2;13.0;6000000;microempresarial;2016-12-29
8532;masculino;comercio;variedades;manrique central no. 1;1;4.0;4500000;microempresarial;2018-09-24
8533;femenino;servicio;tienda;enciso;2;8.0;5000000;microempresarial;2016-08-26
8534;masculino;comercio;almacen de ropa en;barrio caicedo;2;9.0;5000000;microempresarial;2018-10-25
8535;femenino;comercio;mantenimiento en;tricentenario;3;13.0;8281000;microempresarial;2019-04-30
8536;femenino;comercio;almacen de ropa en;florencia;3;5.0;6000000;microempresarial;2017-04-07
8537;femenino;comercio;variedades;guayabal;2;15.0;7000000;microempresarial;2017-08-28
8538;femenino;comercio;productos de belleza;pedregal alto;3;60.0;6500000;microempresarial;2017-10-24
8539;femenino;industria;fabrica de;buenos aires;3;9.0;6000000;microempresarial;2017-02-16
8540;femenino;comercio;legumbreria;lopez de mesa;3;7.0;3000000;microempresarial;2018-02-01
8544;femenino;comercio;tienda;santo domingo savio ;2;1.0;2800000;microempresarial;2018-05-28
8546;masculino;comercio;organización y;manrique central no. 1;2;4.0;3000000;microempresarial;2016-10-05
8547;masculino;comercio;criadero de animales;palmitas;2;50.0;4000000;microempresarial;2018-04-23
8548;masculino;servicio;barberia;belen;2;16.0;6800000;microempresarial;2016-12-21
8549;femenino;servicio;comidas rapidas;villa hermosa;3;8.0;6500000;microempresarial;2016-03-09
8550;femenino;comercio;restaurante;la frontera;2;2.0;6890000;microempresarial;2016-12-01
8551;masculino;comercio;almacen de ropa en;san pablo;2;1.0;7000000;microempresarial;2017-03-08
8552;femenino;comercio;panaderia;enciso;2;8.0;7500000;microempresarial;2018-05-07
8553;masculino;comercio;variedades;carpinelo;1;1.0;7000000;microempresarial;2018-10-18
8555;femenino;servicio;mantenimiento en;belen;3;16.0;680000;microempresarial;2016-01-18
8556;femenino;servicio;reciclaje;robledo;3;7.0;7300000;microempresarial;2017-11-15
8557;femenino;comercio;comidas rapidas;campo valdes no. 1;3;4.0;7377000;microempresarial;2017-05-09
8558;femenino;industria;fabrica de;san javier no.1;1;13.0;6500000;microempresarial;2018-02-20
8559;femenino;industria;fabrica de alimentos;aranjuez;3;4.0;28267614;empresarial ed.;2016-09-23
8560;femenino;comercio;venta de;villa del socorro;2;2.0;5000000;microempresarial;2017-05-11
8561;femenino;comercio;tienda;aures no. 2;2;7.0;7300000;microempresarial;2017-03-15
8563;femenino;industria;fabrica de;el triunfo;1;6.0;7300000;microempresarial;2017-06-22
8564;masculino;servicio;barberia;cabecera san antonio ;2;80.0;3500000;microempresarial;2019-06-06
8565;femenino;industria;fabrica de;villa hermosa;2;8.0;7300000;microempresarial;2017-09-05
8566;femenino;comercio;comidas rapidas;robledo;2;7.0;1000000;microempresarial;2018-02-12
8567;femenino;comercio;papeleria;robledo;2;7.0;4000000;microempresarial;2016-10-11
8568;masculino;comercio;fabrica de;barrio caicedo;2;9.0;4000000;microempresarial;2018-06-01
8569;masculino;comercio;variedades;robledo;2;7.0;7000000;microempresarial;2018-05-17
8570;masculino;comercio;variedades;aranjuez;2;4.0;6000000;microempresarial;2017-06-14
8571;femenino;comercio;variedades;santa cruz;2;1.0;7200000;microempresarial;2019-06-25
8572;femenino;industria;fabrica de;manrique oriental;2;3.0;1000000;microempresarial;2018-10-24
8573;masculino;comercio;fabrica de muebles;kennedy;2;6.0;6000000;microempresarial;2018-04-03
8574;masculino;comercio;tienda;robledo;2;7.0;73000000;microempresarial;2017-12-26
8575;femenino;industria;fabrica de;tejelo;3;5.0;6000000;microempresarial;2017-10-25
8576;masculino;servicio;tienda;girardot;3;5.0;1200000;microempresarial;2017-04-28
8577;masculino;servicio;comidas rapidas;manrique central no. 1;3;4.0;6890000;microempresarial;2016-07-26
8578;femenino;servicio;peluqueria;villa hermosa;3;8.0;4000000;microempresarial;2017-07-11
8579;femenino;industria;fabrica de;manrique central no. 2;2;3.0;5000000;microempresarial;2018-08-17
8580;masculino;comercio;comidas rapidas;buenos aires;3;9.0;7800000;microempresarial;2018-02-26
8581;femenino;comercio;variedades;olaya herrera;1;7.0;4000000;microempresarial;2017-01-19
8582;femenino;servicio;peluqueria;tejelo;3;5.0;7000000;microempresarial;2018-01-03
8583;femenino;comercio;comidas rapidas;campo valdes no. 1;3;4.0;7370000;microempresarial;2017-06-28
8584;femenino;industria;fabrica de;manrique central no. 2;2;3.0;6890000;microempresarial;2016-09-13
8585;masculino;comercio;miscelanea;aranjuez;2;4.0;5500000;microempresarial;2018-09-18
8586;femenino;comercio;variedades;cabecera san antonio ;2;80.0;6300000;microempresarial;2019-06-07
8587;masculino;comercio;panaderia;robledo;2;7.0;6890000;microempresarial;2016-08-31
8588;femenino;industria;fabrica de;manrique central no. 1;2;4.0;7000000;microempresarial;2017-10-24
8589;femenino;comercio;comidas rapidas;carpinelo;1;1.0;3000000;microempresarial;2018-06-05
8590;femenino;servicio;peluqueria;doce de octubre no.1;2;6.0;7370000;microempresarial;2017-09-13
8591;femenino;industria;fabrica de;belen;3;16.0;5000000;microempresarial;2016-03-16
8592;femenino;industria;reciclaje;santo domingo savio ;1;1.0;7800000;microempresarial;2018-03-14
8593;masculino;servicio;recreativo educativo;campo valdes no. 1;3;4.0;3000000;microempresarial;2018-05-25
8594;masculino;servicio;restaurante;belen;3;16.0;7500000;microempresarial;2018-03-13
8595;masculino;servicio;tienda;cabecera san antonio ;2;80.0;8000000;microempresarial;2019-05-06
8596;masculino;comercio;legumbreria;las granjas;2;3.0;8281160;microempresarial;2019-02-18
8597;femenino;comercio;almacen de ropa en;manrique oriental;2;3.0;7800000;microempresarial;2018-01-17
8598;masculino;comercio;variedades;trinidad;3;15.0;20000000;empresarial ed.;2017-12-11
8599;femenino;industria;fabrica de;doce de octubre no.1;2;6.0;7300000;microempresarial;2017-08-24
8600;femenino;comercio;distribuidora de;robledo;2;7.0;5000000;microempresarial;2016-08-12
8601;masculino;comercio;tienda;barrio caicedo;2;9.0;7000000;microempresarial;2018-10-30
8602;femenino;comercio;ferreteria;castilla;2;5.0;7377000;microempresarial;2017-02-02
8603;femenino;servicio;peluqueria;robledo;2;7.0;7000000;microempresarial;2018-02-02
8604;masculino;comercio;almacen de ropa en;belen;3;16.0;1500000;microempresarial;2017-02-10
8605;femenino;industria;fabrica de;manrique oriental;1;3.0;7000000;microempresarial;2017-01-06
8606;femenino;servicio;fabrica de;santander;2;6.0;3600000;microempresarial;2017-02-06
8607;femenino;industria;fabrica de;popular;2;1.0;4000000;microempresarial;2018-06-01
8608;masculino;servicio;tienda;andalucia;2;2.0;6500000;microempresarial;2018-02-13
8609;masculino;servicio;barberia;villa del socorro;2;2.0;7000000;microempresarial;2017-08-08
8610;femenino;comercio;comidas rapidas;belencito;1;13.0;1000000;microempresarial;2018-02-27
8611;femenino;industria;fabrica de alimentos;belen;3;16.0;730000;microempresarial;2017-10-31
8613;masculino;comercio;productos de mar;cabecera san antonio ;3;80.0;2000000;microempresarial;2017-09-21
8614;masculino;comercio;mantenimiento en;cabecera san cristobal;2;60.0;4000000;microempresarial;2017-03-27
8616;masculino;comercio;tienda;laureles;1;8.0;8000000;microempresarial;2019-03-06
8617;femenino;comercio;almacen de ropa en;san javier no.1;3;13.0;7000000;microempresarial;2018-05-04
8618;femenino;comercio;legumbreria;campo valdes no. 2;2;3.0;1000000;credioportuno;2019-06-07
8619;femenino;agropecuaria;criadero de animales;cabecera san cristobal;2;60.0;7000000;microempresarial;2017-07-06
8620;femenino;industria;fabrica de;enciso;1;8.0;7300000;microempresarial;2017-06-07
8621;femenino;industria;fabrica de;popular;2;1.0;5000000;microempresarial;2018-08-01
8623;femenino;industria;fabrica de;barrio caicedo;3;9.0;7300000;microempresarial;2017-04-04
8624;femenino;servicio;restaurante;popular;2;1.0;6890000;microempresarial;2016-05-31
8625;masculino;industria;fabrica de;campo valdes no. 1;3;4.0;3500000;microempresarial;2018-04-04
8626;femenino;comercio;variedades;la pradera;3;13.0;4400000;credioportuno;2017-09-13
8627;femenino;servicio;restaurante;campo valdes no. 2;2;3.0;7300000;microempresarial;2017-03-17
8628;masculino;industria;fabrica de;boyaca;3;5.0;5000000;microempresarial;2017-09-01
8629;femenino;comercio;comidas rapidas;pedregal;2;6.0;7000000;microempresarial;2017-09-08
8630;masculino;comercio;variedades;manrique central no. 1;1;4.0;7800000;microempresarial;2018-11-14
8631;femenino;industria;fabrica de muebles;20 de julio;1;13.0;7300000;microempresarial;2018-05-23
8632;femenino;comercio;almacen de ropa en;popular;2;1.0;3400000;microempresarial;2018-10-24
8633;masculino;industria;fabrica de repuestos;san javier no.1;2;90.0;2000000;microempresarial;2018-06-01
8634;masculino;servicio;mantenimiento en;manrique central no. 2;3;3.0;3500000;microempresarial;2018-04-10
8635;femenino;comercio;distribuidora de;barrio caicedo;2;9.0;7000000;microempresarial;2017-06-22
8636;masculino;comercio;fabrica de alimentos;manrique oriental;2;3.0;4000000;microempresarial;2016-08-29
8637;femenino;servicio;barberia;manrique central no. 1;2;4.0;3000000;microempresarial;2018-10-11
8638;masculino;comercio;restaurante;guayabal;3;15.0;7000000;microempresarial;2018-03-12
8639;masculino;comercio;fabrica de;robledo;2;7.0;7000000;microempresarial;2018-12-04
8640;femenino;comercio;fabrica de;la floresta;3;12.0;7800000;microempresarial;2018-02-09
8641;femenino;comercio;comidas rapidas;bosques de san pablo;2;7.0;7377000;microempresarial;2017-01-31
8642;femenino;comercio;comidas rapidas;santo domingo savio ;1;1.0;1000000;microempresarial;2018-03-14
8643;femenino;comercio;restaurante;belen;2;16.0;6000000;microempresarial;2017-03-17
8644;femenino;industria;fabrica de;san javier no.1;2;13.0;4000000;microempresarial;2018-01-19
8645;femenino;comercio;variedades;manrique central no. 2;2;3.0;7000000;microempresarial;2017-12-12
8646;femenino;industria;fabrica de;cabecera san cristobal;2;60.0;5250000;microempresarial;2017-09-26
8647;femenino;comercio;tienda;versalles no. 1;1;3.0;4000000;microempresarial;2017-11-30
8648;femenino;industria;fabrica de productos;campo valdes no. 1;3;4.0;7800000;microempresarial;2018-08-10
8649;femenino;servicio;peluqueria;robledo;1;7.0;7800000;microempresarial;2018-04-25
8650;femenino;industria;fabrica de;robledo;2;7.0;7000000;microempresarial;2018-06-06
8651;femenino;comercio;comidas rapidas;manrique central no. 1;3;4.0;7800000;microempresarial;2018-08-21
8652;femenino;comercio;variedades;tricentenario;3;5.0;6890000;microempresarial;2016-04-15
8653;femenino;comercio;almacen de ropa en;cabecera san antonio ;3;80.0;7000000;microempresarial;2017-02-22
8654;femenino;servicio;variedades;santa cruz;2;2.0;7000000;microempresarial;2018-02-16
8656;masculino;comercio;variedades;belen;2;16.0;6500000;microempresarial;2016-04-21
8657;masculino;comercio;tienda;belen;2;16.0;5000000;microempresarial;2019-02-04
8658;femenino;comercio;variedades;enciso;2;8.0;6000000;microempresarial;2018-04-11
8659;masculino;servicio;mantenimiento en;barrio caicedo;1;9.0;7800000;microempresarial;2018-05-17
8661;femenino;comercio;fabrica de alimentos;san javier no.1;2;13.0;5000000;microempresarial;2017-05-02
8662;femenino;comercio;almacen de ropa en;girardot;3;5.0;7000000;microempresarial;2017-11-20
8663;femenino;comercio;papeleria;aranjuez;2;4.0;7300000;microempresarial;2017-08-11
8664;masculino;comercio;variedades;la milagrosa;2;9.0;6000000;microempresarial;2018-07-06
8665;femenino;servicio;tienda;la milagrosa;3;9.0;5000000;microempresarial;2017-06-30
8666;femenino;comercio;almacen de ropa en;robledo;2;7.0;7100000;microempresarial;2017-09-26
8667;femenino;industria;fabrica de;san pablo;2;1.0;7800000;microempresarial;2018-11-01
8668;masculino;industria;fabrica de;cordoba;3;7.0;7800000;microempresarial;2018-11-29
8669;femenino;comercio;comidas rapidas;granizal;2;1.0;4000000;microempresarial;2018-09-05
8670;femenino;comercio;variedades;la pradera;3;13.0;4000000;microempresarial;2018-07-04
8671;femenino;comercio;comidas rapidas;sevilla;3;4.0;3000000;microempresarial;2018-07-11
8673;femenino;comercio;comidas rapidas;buenos aires;1;9.0;5000000;microempresarial;2016-12-30
8674;masculino;comercio;fabrica de arepas;toscana;2;5.0;7000000;microempresarial;2017-12-14
8675;femenino;servicio;cafe e internet;belen;3;16.0;7000000;microempresarial;2017-12-01
8676;masculino;comercio;fabrica de;granizal;2;1.0;7000000;microempresarial;2017-06-20
8677;femenino;comercio;almacen de ropa en;san javier no.1;3;13.0;7000000;microempresarial;2017-03-23
8678;femenino;industria;fabrica de;santa cruz;2;2.0;600000;microempresarial;2016-04-15
8679;femenino;servicio;productos de belleza;cabecera san cristobal;3;60.0;8000000;microempresarial;2019-05-02
8680;femenino;servicio;peluqueria;belencito;1;13.0;6000000;microempresarial;2018-08-02
8681;masculino;industria;fabrica de;belen;3;16.0;7377000;microempresarial;2017-05-18
8682;femenino;comercio;comidas rapidas;san javier no.1;2;13.0;1300000;microempresarial;2018-11-13
8683;femenino;comercio;variedades;versalles no. 1;2;3.0;5000000;microempresarial;2018-05-29
8684;femenino;servicio;peluqueria;picachito;1;6.0;7000000;microempresarial;2018-09-14
8685;femenino;comercio;tienda;manrique central no. 1;1;4.0;6500000;microempresarial;2018-06-07
8687;masculino;industria;fabrica de;manrique oriental;1;3.0;6000000;microempresarial;2017-07-12
8689;masculino;servicio;venta de repuestos;aranjuez;2;4.0;6890000;microempresarial;2016-11-08
8690;masculino;industria;variedades;castilla;3;5.0;7800000;microempresarial;2018-06-21
8691;femenino;comercio;productos de belleza;guayabal;3;15.0;6890000;microempresarial;2016-12-13
8692;femenino;comercio;comidas rapidas;aranjuez;2;4.0;7200000;microempresarial;2017-03-13
8693;masculino;industria;fabrica de;enciso;1;8.0;4000000;microempresarial;2018-09-04
8694;femenino;servicio;peluqueria;manrique central no. 2;3;3.0;6000000;microempresarial;2016-09-16
8695;femenino;comercio;tienda;villatina;1;8.0;3000000;microempresarial;2018-02-13
8696;masculino;comercio;deposito de;san javier no.1;3;13.0;7370000;microempresarial;2017-05-04
8697;femenino;comercio;almacen de ropa en;barrio caicedo;2;9.0;3000000;microempresarial;2018-07-24
8698;femenino;servicio;peluqueria;buenos aires;3;9.0;6000000;microempresarial;2018-05-03
8699;femenino;comercio;tienda;santo domingo savio ;2;1.0;6800000;microempresarial;2016-10-25
8700;femenino;comercio;fabrica de;barrio caicedo;2;9.0;7000000;microempresarial;2017-02-13
8702;femenino;comercio;miscelanea;buenos aires;3;9.0;6000000;microempresarial;2017-01-23
8703;femenino;industria;mantenimiento en;villa hermosa;3;8.0;7300000;microempresarial;2017-03-07
8704;masculino;comercio;variedades;san javier no.1;1;13.0;7800000;microempresarial;2018-07-13
8705;femenino;comercio;almacen de ropa en;granizal;2;1.0;3000000;microempresarial;2016-06-10
8707;femenino;servicio;restaurante;castilla;3;5.0;4500000;microempresarial;2018-11-07
8708;masculino;comercio;variedades;pedregal;3;6.0;7000000;microempresarial;2018-10-11
8709;femenino;industria;fabrica de;enciso;2;8.0;6000000;microempresarial;2016-11-17
8710;femenino;comercio;peluqueria;villa hermosa;3;8.0;3000000;microempresarial;2018-04-25
8711;masculino;servicio;variedades;robledo;2;7.0;4000000;microempresarial;2018-02-27
8712;femenino;comercio;comidas rapidas;robledo;1;7.0;2000000;microempresarial;2018-02-14
8713;masculino;servicio;barberia;el socorro;2;13.0;7370000;microempresarial;2017-05-30
8714;masculino;comercio;comidas rapidas;villatina;1;8.0;7000000;microempresarial;2017-05-05
8715;femenino;servicio;comidas rapidas;villa hermosa;3;8.0;3500000;microempresarial;2018-02-06
8716;masculino;industria;fabrica de;robledo;2;7.0;5000000;microempresarial;2016-02-17
8718;masculino;comercio;granero;campo valdes no. 1;2;4.0;6000000;microempresarial;2017-05-03
8719;masculino;industria;taller de mecanica;buenos aires;2;9.0;6000000;microempresarial;2018-10-03
8720;femenino;comercio;comidas rapidas;san german;1;7.0;5000000;microempresarial;2016-10-05
8721;masculino;servicio;comidas rapidas;la floresta;3;12.0;73770000;microempresarial;2017-10-20
8722;femenino;comercio;tienda;la milagrosa;3;9.0;5000000;microempresarial;2017-06-02
8723;femenino;comercio;fabrica de;popular;1;1.0;7800000;microempresarial;2018-10-22
8725;femenino;industria;fabrica de alimentos;antonio nari¿o;2;13.0;5000000;microempresarial;2016-01-18
8726;masculino;comercio;productos de belleza;robledo;2;7.0;7800000;microempresarial;2018-05-18
8727;femenino;servicio;fabrica de alimentos;santander;2;6.0;6000000;microempresarial;2018-02-08
8728;femenino;comercio;restaurante;barrio caicedo;3;9.0;5000000;microempresarial;2017-10-11
8729;masculino;servicio;barberia;la mansion;3;8.0;5000000;microempresarial;2018-05-11
8730;femenino;servicio;mantenimiento en;el salvador;3;9.0;6900000;microempresarial;2017-01-13
8731;masculino;comercio;miscelanea;florencia;3;5.0;4000000;microempresarial;2016-08-30
8732;masculino;comercio;comidas rapidas;20 de julio;2;13.0;5000000;microempresarial;2018-08-23
8733;femenino;comercio;variedades;cabecera san cristobal;1;60.0;800000;microempresarial;2018-05-11
8734;femenino;servicio;comidas rapidas;robledo;2;7.0;4000000;microempresarial;2016-10-11
8735;femenino;industria;fabrica de;aguas frias;1;70.0;7300000;microempresarial;2017-07-05
8736;masculino;comercio;tienda;la milagrosa;3;9.0;1500000;microempresarial;2016-03-03
8737;femenino;industria;fabrica de;aranjuez;3;4.0;7000000;microempresarial;2017-02-22
8738;femenino;agropecuaria;criadero de animales;altavista;2;16.0;5000000;agropecuaria;2017-09-05
8739;femenino;comercio;restaurante;santa lucia;3;12.0;7370000;microempresarial;2017-03-21
8740;femenino;industria;fabrica de;buenos aires;3;9.0;6890000;microempresarial;2016-04-25
8741;femenino;comercio;legumbreria;villa del socorro;2;2.0;7000000;microempresarial;2018-08-24
8742;masculino;servicio;cafe e internet;aranjuez;1;4.0;6890000;microempresarial;2016-09-27
8743;femenino;industria;fabrica de;popular;2;1.0;6444500;microempresarial;2016-02-17
8744;femenino;industria;tienda;san jose de la cima no. ;2;3.0;1500000;microempresarial;2018-05-11
8745;femenino;servicio;comidas rapidas;belalcazar;3;5.0;5000000;microempresarial;2016-09-26
8746;femenino;industria;cafeteria;santo domingo savio ;1;1.0;1000000;microempresarial;2018-06-22
8747;femenino;servicio;peluqueria;aranjuez;2;4.0;6000000;microempresarial;2017-05-25
8748;masculino;servicio;restaurante;belencito;2;13.0;2000000;microempresarial;2018-05-07
8749;masculino;industria;fabrica de;santa rosa de lima;3;13.0;7000000;microempresarial;2017-10-24
8750;femenino;comercio;tienda;santo domingo savio ;1;1.0;6000000;microempresarial;2018-11-07
8751;femenino;industria;fabrica de;manrique oriental;1;3.0;2300000;microempresarial;2018-04-17
8752;femenino;industria;fabrica de arepas;robledo;2;7.0;6890000;microempresarial;2016-05-21
